Source Account Number,Mellon Security ID,Security Description 1,Shares/Par,Base Market Value
NPSF20015002,31412LMG2,FNMA    POOL #0928359,21692 ,23113.46 
NPSF30018002,31412NLE4,FNMA    POOL #0930125,6490 ,6874.57 
NPSF20015002,31412SA96,FNMA    POOL #0933032,49814 ,54067.88 
NPSF20015002,31413BHW4,FNMA    POOL #0940445,63593 ,66465.60 
NPSF30018002,31413LG60,FNMA    POOL #0948521,74608 ,78978.80 
NPSF30018002,31413MF28,FNMA    POOL #0949385,25241 ,26484.10 
NPSF30018002,31413NJD8,FNMA    POOL #0950360,13678 ,14077.08 
NPSF30018002,31413QN95,FNMA    POOL #0952316,44592 ,47625.85 
NPSF30018002,31414D2X3,FNMA    POOL #0963490,32383 ,35114.61 
NPSF30018002,31415VXY6,FNMA    POOL #0990895,19846 ,21490.26 
NPSF30018002,31415WAV5,FNMA    POOL #0991120,36640 ,37860.86 
NPSF30018002,31416CKN5,FNMA    POOL #0995901,41499 ,43923.87 
NPSF30018002,31416ML36,FNMA    POOL #0AA3945,100001 ,105659.45 
NPSF20015002,31417AYH6,FNMA    POOL #0AB4311,359124 ,380790.18 
NPSF30018002,31417EZB0,FNMA    POOL #0AB7937,140874 ,142212.74 
NPSF30018002,31417UCT0,FNMA    POOL #0AC7281,43039 ,45553.63 
NPSF30018002,31417XAP4,FNMA    POOL #0AC9913,44598 ,46960.79 
NPSF30018002,31417YKH9,FNMA    POOL #0MA0295,1396380 ,1536353.33 
NPSF30018002,31417YNH6,FNMA    POOL #0MA0391,47850 ,50645.49 
NPSF30018002,31417YSJ7,FNMA    POOL #0MA0520,40973 ,43178.87 
NPSF30018002,31417YU54,FNMA    POOL #0MA0603,95825 ,101496.71 
NPSF20015002,31418A6J2,FNMA    POOL #0MA1772,153011 ,160526.89 
NPSF20015002,31418AVV7,FNMA    POOL #0MA1527,827062 ,851236.89 
NPSF20015002,31418AYE2,FNMA    POOL #0MA1608,706889 ,741611.13 
NPSF20015002,31418CGZ1,FNMA    POOL #0MA2915,827037 ,855420.41 
NPSF20015002,31418RHG9,FNMA    POOL #0AD3830,160630 ,171112.76 
NPSF30018002,31418TLN5,FNMA    POOL #0AD5732,224755 ,233414.63 
NPSF20015002,31419BAU9,FNMA    POOL #0AE0918,452936 ,476411.74 
NPSF20012002,31428XBF2,FEDEX CORP,110000 ,111410.20 
NPSF20012002,31428XBM7,FEDEX CORP,140000 ,141082.20 
NPSF20011002,31430QBE6,FELCOR LODGING LP,590000 ,618025.00 
NPSF30018002,31562QAC1,FIAT CHRYSLER AUTOMOBILES NV,200000 ,204750.00 
NPSF20012002,31620MAK2,FIDELITY NATIONAL INFORMATION,65000 ,67217.15 
NPSF20012002,31620MAR7,FIDELITY NATIONAL INFORMATION,47000 ,52349.54 
NPSF20011002,319963BN3,FIRST DATA CORP 144A,770000 ,808500.00 
NPSF20011002,319963BP8,FIRST DATA CORP 144A,380000 ,410134.00 
NPSF30018002,32008DAA4,FIRST DATA CORP 144A,187000 ,193778.75 
NPSF20011002,32008DAB2,FIRST DATA CORP 144A,210000 ,222075.00 
NPSF30018002,32027NBX8,FIRST FRANKLIN MORTGAGE FF1 A1,618844 ,606244.04 
NPSF20015002,32027NKU4,FIRST FRANKLIN MORTGAG FF5 A3C,329535 ,319992.01 
NPSF30018002,337932AC1,FIRSTENERGY CORP,850000 ,1132633.50 
NPSF30018002,337932AF4,FIRSTENERGY CORP,310000 ,322982.80 
NPSF20015002,33882UAE7,FLATIRON CLO 2014- 1A A1R 144A,525000 ,525000.00 
NPSF20011002,340630AA0,FLORIDA EAST COAST HOLDIN 144A,310000 ,319300.00 
NPSF20012002,34528QBY9,FORD CREDIT FLOORPLAN MAST 5 A,585000 ,585193.05 
NPSF20012002,34528QDA9,FORD CREDIT FLOORPLAN MAST 2 A,1880000 ,1888347.20 
NPSF20012002,345397VM2,FORD MOTOR CREDIT CO LLC,300000 ,342225.00 
NPSF20012002,345397VP5,FORD MOTOR CREDIT CO LLC,100000 ,100942.00 
NPSF20012002,345397VT7,FORD MOTOR CREDIT CO LLC,430000 ,442353.90 
NPSF20012002,345397WR0,FORD MOTOR CREDIT CO LLC,200000 ,199994.00 
NPSF30018002,345397WW9,FORD MOTOR CREDIT CO LLC,410000 ,408663.40 
NPSF20012002,350910AN5,FOUR TIMES SQUARE T 4TS A 144A,425209 ,467997.36 
NPSF30018002,35671DBV6,FREEPORT-MCMORAN INC 144A,240000 ,252172.80 
NPSF30018002,35802XAJ2,FRESENIUS MEDICAL CARE US 144A,260000 ,272870.00 
NPSF20012002,36143WAS0,GAHR COMMERCIAL M NRF DFX 144A,305000 ,309959.30 
NPSF20015002,36156YAW1,GCO EDUCATION LO 2AR A1RN 144A,289729 ,260282.57 
NPSF20011002,36164YAA9,GCP APPLIED TECHNOLOGIES 144A,148000 ,168350.00 
NPSF20011002,36168QAA2,GFL ENVIRONMENTAL INC 144A,403000 ,438262.50 
NPSF20011002,36168QAC8,GFL ENVIRONMENTAL INC 144A,46000 ,46345.00 
NPSF20015002,36179R7J2,GNMA II POOL #0MA3597,890142 ,928667.49 
NPSF20015002,36179SB89,GNMA II POOL #0MA3663,788984 ,823130.96 
NPSF30018002,36179SJS7,GNMA II POOL #0MA3873,3122517 ,3180033.38 
NPSF20015002,36179SSP3,GNMA II POOL #0MA4126,904371 ,921029.12 
NPSF30018002,36179SYS0,GNMA II POOL #0MA4321,696677 ,726828.83 
NPSF20011002,361841AD1,GLP CAPITAL LP / GLP FINANCING,310000 ,329375.00 
NPSF30018002,36186CBY8,ALLY FINANCIAL INC,230000 ,278582.90 
NPSF20011002,36186CBY8,ALLY FINANCIAL INC,545000 ,660120.35 
NPSF20012002,36192LAA3,GS MORTGAGE SECURI SHOP A 144A,460000 ,468896.40 
NPSF20012002,36192PAJ5,GS MORTGAGE SECURITIES GCJ9 A3,465000 ,472240.05 
NPSF20012002,36197RAS6,GS MORTGAGE SECURI NYC5 E 144A,150000 ,151321.50 
NPSF30018002,36228FWE2,GSAMP TRUST 2003-HE2 HE2 A3C,1328428 ,1271703.72 
NPSF20015002,3623414S5,GSAMP TRUST 2006-HE1 HE1 A2D,624834 ,622184.77 
NPSF20015002,36241LDP8,GNMA    POOL #0782810,624799 ,686011.00 
NPSF20015002,36241LDX1,GNMA    POOL #0782818,577012 ,633542.35 
NPSF30018002,36251FAY2,GS MORTGAGE SECURITIES GC28 XA,2862887 ,166333.74 
NPSF30018002,36252CAA0,GS MORTGAGE SECURI 485L A 144A,250000 ,263097.50 
NPSF30018002,36252HAK7,GS MORTGAGE SECURITIES T GS5 C,250000 ,263460.00 
NPSF30018002,36252RAG4,GS MORTGAGE SECURI GC18 D 144A,820000 ,708808.00 
NPSF30018002,36290TPH6,GNMA    POOL #0617024,59134 ,65063.09 
NPSF30018002,36292EF21,GNMA    POOL #0646485,9558 ,10504.50 
NPSF30018002,36292LD43,GNMA    POOL #0651823,20555 ,22834.07 
NPSF30018002,36292LRY2,GNMA    POOL #0652203,14929 ,16559.20 
NPSF20011002,366651AB3,GARTNER INC 144A,325000 ,339218.75 
NPSF20012002,369604BD4,GENERAL ELECTRIC CO,150000 ,153315.00 
NPSF20012002,369604BG7,GENERAL ELECTRIC CO,170000 ,179411.20 
NPSF30018002,369604BH5,GENERAL ELECTRIC CO,140000 ,153771.80 
NPSF30018002,369622SM8,GENERAL ELECTRIC CO,130000 ,144661.40 
NPSF30018002,36962G3P7,GENERAL ELECTRIC CO,30000 ,38625.00 
NPSF30018002,36962G4B7,GENERAL ELECTRIC CO,920000 ,1325140.40 
NPSF20015002,36962GX74,GENERAL ELECTRIC CO,300000 ,268527.00 
NPSF20015002,37045VAE0,GENERAL MOTORS CO,160000 ,170750.40 
NPSF30018002,37045VAF7,GENERAL MOTORS CO,200000 ,218480.00 
NPSF20011002,37045VAL4,GENERAL MOTORS CO,175000 ,202767.25 
NPSF20012002,37045XAJ5,GENERAL MOTORS FINANCIAL CO IN,175000 ,177245.25 
NPSF30018002,37045XAW6,GENERAL MOTORS FINANCIAL CO IN,40000 ,40551.20 
NPSF20012002,37045XBM7,GENERAL MOTORS FINANCIAL CO IN,350000 ,353195.50 
NPSF20012002,37045XBP0,GENERAL MOTORS FINANCIAL CO IN,420000 ,419710.20 
NPSF20012002,37045XBS4,GENERAL MOTORS FINANCIAL CO IN,170000 ,172174.30 
NPSF20012002,373334KG5,GEORGIA POWER CO,90000 ,89774.10 
NPSF20012002,373334KH3,GEORGIA POWER CO,20000 ,19973.80 
NPSF20012002,375558AW3,GILEAD SCIENCES INC,40000 ,41705.20 
NPSF30018002,375558AW3,GILEAD SCIENCES INC,160000 ,166820.80 
NPSF30018002,375558BA0,GILEAD SCIENCES INC,30000 ,30748.50 
NPSF20015002,375558BA0,GILEAD SCIENCES INC,200000 ,204990.00 
NPSF20012002,375558BC6,GILEAD SCIENCES INC,150000 ,155397.00 
NPSF30018002,375558BD4,GILEAD SCIENCES INC,80000 ,84729.60 
NPSF20012002,375558BF9,GILEAD SCIENCES INC,330000 ,338857.20 
NPSF30018002,375558BF9,GILEAD SCIENCES INC,150000 ,154026.00 
NPSF20015002,375558BM4,GILEAD SCIENCES INC,100000 ,96672.00 
NPSF30018002,378272AF5,GLENCORE FUNDING LLC 144A,290000 ,298398.40 
NPSF30018002,378272AN8,GLENCORE FUNDING LLC 144A,110000 ,108375.30 
NPSF20015002,37952UAE3,GLOBAL SC FINANCE I 1A A2 144A,179167 ,176966.51 
NPSF20012002,380881CP5,GOLDEN CREDIT CARD T 2A A 144A,420000 ,421961.40 
NPSF20015002,38141EA25,GOLDMAN SACHS GROUP INC/THE,700000 ,763000.00 
NPSF20012002,38141EC23,GOLDMAN SACHS GROUP INC/THE,75000 ,78030.75 
NPSF30018002,38141EC31,GOLDMAN SACHS GROUP INC/THE,180000 ,195973.20 
NPSF30018002,38141GFD1,GOLDMAN SACHS GROUP INC/THE,10000 ,12765.40 
NPSF20015002,38141GFG4,GOLDMAN SACHS GROUP INC/THE,400000 ,410364.00 
NPSF20012002,38141GFM1,GOLDMAN SACHS GROUP INC/THE,225000 ,232904.25 
NPSF30018002,38141GFM1,GOLDMAN SACHS GROUP INC/THE,1600000 ,1656208.00 
NPSF20015002,38141GFM1,GOLDMAN SACHS GROUP INC/THE,775000 ,802225.75 
NPSF20015002,38141GGQ1,GOLDMAN SACHS GROUP INC/THE,150000 ,165363.00 
NPSF20015002,38141GRC0,GOLDMAN SACHS GROUP INC/THE,500000 ,502155.00 
NPSF20012002,38141GRC0,GOLDMAN SACHS GROUP INC/THE,350000 ,351508.50 
NPSF20012002,38141GVK7,GOLDMAN SACHS GROUP INC/THE,245000 ,247016.35 
NPSF20012002,38141GVR2,GOLDMAN SACHS GROUP INC/THE,40000 ,41463.60 
NPSF30018002,38141GVR2,GOLDMAN SACHS GROUP INC/THE,610000 ,632319.90 
NPSF20012002,38141GWG5,GOLDMAN SACHS GROUP INC/THE,500000 ,503150.00 
NPSF20015002,38141GWL4,GOLDMAN SACHS GROUP INC/THE,350000 ,350000.00 
NPSF20012002,38143U8H7,GOLDMAN SACHS GROUP INC/THE,255000 ,260089.80 
NPSF30018002,38143YAC7,GOLDMAN SACHS GROUP INC/THE,10000 ,12428.90 
NPSF30018002,38145GAH3,GOLDMAN SACHS GROUP INC/THE,160000 ,158851.20 
NPSF20012002,38145GAH3,GOLDMAN SACHS GROUP INC/THE,160000 ,158851.20 
NPSF20012002,38145GAJ9,GOLDMAN SACHS GROUP INC/THE,50000 ,50180.00 
NPSF20012002,38145XAA1,GOLDMAN SACHS GROUP INC/THE,33000 ,33352.11 
NPSF20012002,38147MAA3,GOLDMAN SACHS GROUP INC/THE,10000 ,10116.90 
NPSF20012002,38148FAB5,GOLDMAN SACHS GROUP INC/THE,302000 ,305276.70 
NPSF20012002,38148LAE6,GOLDMAN SACHS GROUP INC/THE,60000 ,61327.80 
NPSF30018002,38148LAF3,GOLDMAN SACHS GROUP INC/THE,220000 ,238834.20 
NPSF30018002,382550BF7,GOODYEAR TIRE & RUBBER CO/THE,120000 ,124502.40 
NPSF30018002,38375CWH9,GNMA GTD REMIC P/T 12-43 SN,909725 ,208763.64 
NPSF20015002,38375QZ44,GNMA GTD REMIC P/T 08-51 GS,861348 ,168772.51 
NPSF30018002,38376G5P1,GNMA GTD REMIC P/T 11-127 IO,1286809 ,28901.72 
NPSF30018002,38378B2G3,GNMA GTD REMIC P/T 12-144 IO,6401000 ,233188.44 
NPSF30018002,38378BRQ4,GNMA GTD REMIC P/T 12-55 IO,2496256 ,67648.54 
NPSF30018002,38378D2U8,GNMA GTD REMIC P/T 12-34 SA IO,1059079 ,185868.45 
NPSF30018002,38378X2M2,GNMA GTD REMIC P/T 15-7 IO,1881805 ,119061.81 
NPSF30018002,38378XW72,GNMA GTD REMIC P/T,2425142 ,129842.10 
NPSF30018002,38379FFB0,GNMA GTD REMIC P/T 15-167 OIIO,160381 ,33155.62 
NPSF30018002,38379JA50,GNMA GTD REMIC P/T 15-36 MI IO,592536 ,124373.37 
NPSF20012002,38406HAA0,GRACE 2014-GRCE MO GRCE A 144A,445000 ,463908.05 
NPSF20011002,389375AJ5,GRAY TELEVISION INC 144A,185000 ,188237.50 
NPSF20011002,39807UAA4,GREYSTAR REAL ESTATE PART 144A,47000 ,50642.50 
NPSF20012002,39808UAA3,GREYSTONE COMMERCI FL1A A 144A,250000 ,250000.00 
NPSF20011002,398545AA1,GRINDING MEDIA INC / MC G 144A,250000 ,270000.00 
NPSF20011002,398905AK5,GROUP 1 AUTOMOTIVE INC,165000 ,166650.00 
NPSF20015002,40139LAA1,GUARDIAN LIFE GLOBAL FUND 144A,425000 ,419696.00 
NPSF20011002,404119AJ8,HCA INC,160000 ,178800.00 
NPSF20011002,404119BS7,HCA INC,190000 ,206625.00 
NPSF30018002,404119BT5,HCA INC,320000 ,348000.00 
NPSF20011002,404119BT5,HCA INC,245000 ,266437.50 
NPSF20011002,40412CAC5,HCA HEALTHCARE INC,430000 ,469237.50 
NPSF20015002,40414LAJ8,HCP INC,445000 ,466805.00 
NPSF30018002,404280AU3,HSBC HOLDINGS PLC,260000 ,267815.60 
NPSF30018002,404280AV1,HSBC HOLDINGS PLC,380000 ,391795.20 
NPSF20012002,404280BH1,HSBC HOLDINGS PLC,200000 ,207660.00 
NPSF20012002,404280BJ7,HSBC HOLDINGS PLC,500000 ,508180.00 
NPSF30018002,404280BK4,HSBC HOLDINGS PLC,400000 ,412884.00 
NPSF20012002,40428HPR7,HSBC USA INC,1330000 ,1338299.20 
NPSF20012002,40434CAD7,HSBC USA INC,250000 ,258260.00 
NPSF30018002,406216BG5,HALLIBURTON CO,190000 ,196549.30 
NPSF20012002,406216BG5,HALLIBURTON CO,60000 ,62068.20 
NPSF30018002,406216BJ9,HALLIBURTON CO,20000 ,21380.40 
NPSF30018002,406216BK6,HALLIBURTON CO,40000 ,43200.80 
NPSF20011002,412690AD1,HARLAND CLARKE HOLDINGS C 144A,1050000 ,1086760.50 
NPSF20011002,412690AF6,HARLAND CLARKE HOLDINGS C 144A,445000 ,470587.50 
NPSF20012002,413875AQ8,HARRIS CORP,160000 ,161484.80 
NPSF30018002,413875AT2,HARRIS CORP,60000 ,66987.00 
NPSF20012002,416518AB4,HARTFORD FINANCIAL SERVICES GR,201000 ,224112.99 
NPSF20015002,42217KAU0,WELLTOWER INC,65000 ,70045.30 
NPSF20015002,42217KBB1,WELLTOWER INC,175000 ,186518.50 
NPSF20015002,42217KBF2,WELLTOWER INC,85000 ,88060.85 
NPSF30018002,423074AS2,KRAFT HEINZ FOODS CO 144A,88000 ,94182.00 
NPSF20011002,428040CT4,HERTZ CORP/THE 144A,237000 ,238481.25 
NPSF20011002,42806LAA9,HERC RENTALS INC 144A,286000 ,303160.00 
NPSF20012002,42809HAG2,HESS CORP,80000 ,80220.80 
NPSF20015002,429827AY4,HIGHER EDUCATION FUND 1 A 144A,295465 ,294138.46 
NPSF20011002,431318AQ7,HILCORP ENERGY I LP / HIL 144A,420000 ,410550.00 
NPSF20011002,432891AG4,HILTON WORLDWIDE FINANCE 144A,200000 ,206750.00 
NPSF30018002,432891AJ8,HILTON WORLDWIDE FINANCE 144A,130000 ,134550.00 
NPSF20011002,43414TAA4,HUB INTERNATIONAL LTD 144A,295000 ,307906.25 
NPSF20011002,435765AG7,HOLLY ENERGY PARTNERS LP 144A,205000 ,216787.50 
NPSF20011002,436440AH4,HOLOGIC INC 144A,155000 ,162750.00 
NPSF20015002,43814HAC2,HONDA AUTO RECEIVABLES 20 3 A3,46958 ,46939.31 
NPSF20015002,43814LAB5,HONDA AUTO RECEIVABLES 20 4 A2,73736 ,73687.01 
NPSF20012002,438516BJ4,HONEYWELL INTERNATIONAL INC,200000 ,198386.00 
NPSF20012002,438516BM7,HONEYWELL INTERNATIONAL INC,220000 ,216794.60 
NPSF20011002,44047TAD1,HORIZON PHARMA INC,200000 ,187000.00 
NPSF20011002,44267DAB3,HOWARD HUGHES CORP/THE 144A,560000 ,577500.00 
NPSF20011002,444454AB8,HUGHES SATELLITE SYSTEMS CORP,121000 ,131133.75 
NPSF30018002,444859BE1,HUMANA INC,40000 ,44016.40 
NPSF30018002,444859BF8,HUMANA INC,210000 ,218427.30 
NPSF20012002,446438RR6,HUNTINGTON NATIONAL BANK/THE,250000 ,250857.50 
NPSF20012002,44891AAC1,HYUNDAI CAPITAL AMERICA 144A,60000 ,60188.40 
NPSF20012002,44891AAD9,HYUNDAI CAPITAL AMERICA 144A,142000 ,143258.12 
NPSF30018002,449786AY8,ING BANK NV 144A,230000 ,260130.00 
NPSF20011002,449934AD0,QUINTILES IMS INC 144A,650000 ,673562.50 
NPSF20011002,45031UBQ3,ISTAR INC,730000 ,750075.00 
NPSF20011002,45031UBY6,ISTAR INC,565000 ,589012.50 
NPSF20011002,451102AX5,ICAHN ENTERPRISES LP / ICAHN E,400000 ,413000.00 
NPSF20011002,452892AA0,IMPERIAL METALS CORP 144A,335000 ,315737.50 
NPSF20012002,456837AF0,ING GROEP NV,200000 ,209500.00 
NPSF30018002,458140AS9,INTEL CORP,50000 ,52854.50 
NPSF30018002,458140AT7,INTEL CORP,50000 ,57257.50 
NPSF20011002,45824TAR6,INTELSAT JACKSON HOLDINGS 144A,320000 ,344800.00 
NPSF20012002,45866FAD6,INTERCONTINENTAL EXCHANGE INC,50000 ,52433.50 
NPSF20012002,459200HE4,INTERNATIONAL BUSINESS MACHINE,190000 ,190811.30 
NPSF20012002,459200JG7,INTERNATIONAL BUSINESS MACHINE,100000 ,102590.00 
NPSF20012002,459200JN2,INTERNATIONAL BUSINESS MACHINE,370000 ,370677.10 
NPSF20011002,459745GF6,INTERNATIONAL LEASE FINANCE CO,560000 ,664148.80 
NPSF30018002,459745GH2,INTERNATIONAL LEASE FINANCE CO,80000 ,85973.60 
NPSF30018002,459745GK5,INTERNATIONAL LEASE FINANCE CO,110000 ,136291.10 
NPSF20011002,459745GK5,INTERNATIONAL LEASE FINANCE CO,505000 ,625700.05 
NPSF30018002,459745GN9,INTERNATIONAL LEASE FINANCE CO,250000 ,283472.50 
NPSF20012002,460690BJ8,INTERPUBLIC GROUP OF COS INC/T,175000 ,175369.25 
NPSF30018002,46115HAT4,INTESA SANPAOLO SPA 144A,490000 ,477872.50 
NPSF20012002,46513EFG2,ISRAEL ST AID,235000 ,314448.80 
NPSF30018002,46590TAE5,JPMDB COMMERCIAL MORTGAG C5 A5,610000 ,642818.00 
NPSF20011002,466112AF6,JBS USA LUX SA / JBS USA 144A,290000 ,290000.00 
NPSF20011002,466112AH2,JBS USA LUX SA / JBS USA 144A,290000 ,293625.00 
NPSF20011002,466112AL3,JBS USA LUX SA / JBS USA 144A,40000 ,40000.00 
NPSF20011002,466112AP4,JBS USA LUX SA / JBS USA 144A,470000 ,456699.00 
NPSF20011002,466112AR0,JBS USA LUX SA / JBS USA 144A,250000 ,241562.50 
NPSF20015002,46617LAA9,JGWPT XXX LLC 3A A 144A,171691 ,174858.62 
NPSF20015002,46618AAA2,JGWPT XXXII LLC 2A A 144A,227213 ,218474.28 
NPSF20015002,46623EKD0,JPMORGAN CHASE & CO,400000 ,400248.00 
NPSF20012002,46623EKD0,JPMORGAN CHASE & CO,225000 ,225139.50 
NPSF20015002,46625HGY0,JPMORGAN CHASE & CO,400000 ,410332.00 
NPSF20012002,46625HGY0,JPMORGAN CHASE & CO,215000 ,220553.45 
NPSF30018002,46625HHU7,JPMORGAN CHASE & CO,400000 ,425524.00 
NPSF20012002,46625HJE1,JPMORGAN CHASE & CO,460000 ,472038.20 
NPSF20012002,46625HJF8,JPMORGAN CHASE & CO,235000 ,236186.75 
NPSF20012002,46625HJG6,JPMORGAN CHASE & CO,67000 ,67105.19 
NPSF30018002,46625HJY7,JPMORGAN CHASE & CO,460000 ,475129.40 
NPSF20012002,46625HJY7,JPMORGAN CHASE & CO,150000 ,154933.50 
NPSF20012002,46625HKA7,JPMORGAN CHASE & CO,190000 ,190763.80 
NPSF30018002,46625HLL2,JPMORGAN CHASE & CO,250000 ,271910.00 
NPSF20012002,46625HLW8,JPMORGAN CHASE & CO,360000 ,366127.20 
NPSF20015002,46625HMN7,JPMORGAN CHASE & CO,200000 ,208912.00 
NPSF20012002,46625HNJ5,JPMORGAN CHASE & CO,132000 ,138329.40 
NPSF30018002,46625HNJ5,JPMORGAN CHASE & CO,60000 ,62877.00 
NPSF20012002,46625HQW3,JPMORGAN CHASE & CO,150000 ,149016.00 
NPSF20015002,46625HRL6,JPMORGAN CHASE & CO,345000 ,341632.80 
NPSF20012002,46625HRL6,JPMORGAN CHASE & CO,100000 ,99024.00 
NPSF20012002,46625HRV4,JPMORGAN CHASE & CO,141000 ,136103.07 
NPSF20012002,46625HRY8,JPMORGAN CHASE & CO,740000 ,757760.00 
NPSF20012002,46625YCV3,JP MORGAN CHASE COMMERC LN2 A2,3680 ,3673.29 
NPSF20012002,46629YAD1,JP MORGAN CHASE COMME CB18 A1A,0 ,0.01 
NPSF20012002,46630JAD1,JP MORGAN CHASE COMME LDPX A1A,0 ,0.23 
NPSF20012002,466313AD5,JABIL CIRCUIT INC,235000 ,245575.00 
NPSF20015002,46631BAE5,JP MORGAN CHASE COMMER LD11 A4,750 ,749.69 
NPSF20015002,46631NDZ9,JP MORGAN MORTGAGE TRU S3 1A96,250603 ,220240.20 
NPSF20015002,46636VAC0,JP MORGAN CHASE COMMERCI C5 A3,492763 ,527828.09 
NPSF30018002,46641JAE6,JPMBB COMMERCIAL MO C18 D 144A,1020000 ,899415.60 
NPSF30018002,46643PBJ8,JPMBB COMMERCIAL MORTGA C25 AS,990000 ,1041796.80 
NPSF30018002,46644XAK8,JP MORGAN TRUST 2015 5 A9 144A,350169 ,350190.19 
NPSF30018002,46644YAU4,JPMBB COMMERCIAL MORTGA C31 A3,30000 ,31641.30 
NPSF30018002,46645UAT4,JP MORGAN CHASE COMMERC JP4 A4,250000 ,262285.00 
NPSF20012002,46646GAA5,J.P. MORGAN CHASE NINE A 144A,210000 ,207097.80 
NPSF20011002,46647DAA1,JACK OHIO FINANCE LLC / J 144A,230000 ,238337.50 
NPSF20012002,46647PAE6,JPMORGAN CHASE & CO,185000 ,185333.00 
NPSF20015002,46647PAF3,JPMORGAN CHASE & CO,415000 ,417170.45 
NPSF20012002,46648CAD6,JP MORGAN MORTGAGE T 1 A4 144A,398021 ,408265.96 
NPSF20012002,46648HAF0,JP MORGAN MORTGAGE T 2 A6 144A,435000 ,439553.91 
NPSF30018002,47009YAF4,PHARMACEUTICAL PRODUCT 8/15,59545 ,59619.87 
NPSF20011002,47232MAA0,JEFFERIES FINANCE LLC / J 144A,285000 ,294262.50 
NPSF20015002,476556CP8,JERSEY CENTRAL POWER & LIGHT C,400000 ,474908.00 
NPSF20015002,478160BK9,JOHNSON & JOHNSON,150000 ,169480.50 
NPSF30018002,478160CF9,JOHNSON & JOHNSON,120000 ,123067.20 
NPSF20012002,48126EAA5,JPMORGAN CHASE & CO,810000 ,810915.30 
NPSF20012002,48127HAA7,JPMORGAN CHASE & CO,270000 ,271250.10 
NPSF20012002,48128BAB7,JPMORGAN CHASE & CO,310000 ,313487.50 
NPSF20011002,48238TAA7,KAR AUCTION SERVICES INC 144A,400000 ,408000.00 
NPSF20012002,482480AE0,KLA-TENCOR CORP,2000 ,2164.94 
NPSF30018002,48249DAA9,KKR GROUP FINANCE CO II L 144A,20000 ,22115.00 
NPSF20011002,483007AH3,KAISER ALUMINUM CORP,360000 ,379800.00 
NPSF20015002,48305QAC7,KAISER FOUNDATION HOSPITALS,400000 ,404680.00 
NPSF20011002,494550AZ9,KINDER MORGAN ENERGY PARTNERS,505000 ,560696.45 
NPSF20012002,494550BT2,KINDER MORGAN ENERGY PARTNERS,42000 ,43166.76 
NPSF30018002,494550BV7,KINDER MORGAN ENERGY PARTNERS,180000 ,187956.00 
NPSF20012002,49456BAE1,KINDER MORGAN INC/DE,40000 ,40839.20 
NPSF20012002,49456BAF8,KINDER MORGAN INC/DE,380000 ,398578.20 
NPSF20011002,494580AE3,KINDRED HEALTHCARE INC,355000 ,372750.00 
NPSF20011002,494580AF0,KINDRED HEALTHCARE INC,410000 ,431525.00 
NPSF30018002,50076QAE6,KRAFT HEINZ FOODS CO,30000 ,31340.10 
NPSF20012002,50076QAU0,KRAFT HEINZ FOODS CO,60000 ,65253.60 
NPSF30018002,50076QAZ9,KRAFT HEINZ FOODS CO,90000 ,93309.30 
NPSF30018002,50077LAD8,KRAFT HEINZ FOODS CO,70000 ,67123.00 
NPSF20012002,50077LAD8,KRAFT HEINZ FOODS CO,200000 ,191780.00 
NPSF30018002,50077LAK2,KRAFT HEINZ FOODS CO,80000 ,82492.00 
NPSF30018002,50077LAL0,KRAFT HEINZ FOODS CO,70000 ,74942.00 
NPSF30018002,50077LAM8,KRAFT HEINZ FOODS CO,40000 ,42790.40 
NPSF20015002,50077LAM8,KRAFT HEINZ FOODS CO,200000 ,213952.00 
NPSF30018002,501499AB3,KUWAIT INTERNATIONAL GOVE 144A,360000 ,369910.80 
NPSF20011002,501797AL8,L BRANDS INC,140000 ,136675.00 
NPSF20011002,501797AM6,L BRANDS INC,135000 ,129937.50 
NPSF20012002,512807AR9,LAM RESEARCH CORP,42000 ,42677.46 
NPSF20011002,513075BL4,LAMAR MEDIA CORP,250000 ,270937.50 
NPSF30018002,513272AA2,LAMB WESTON HOLDINGS INC 144A,10000 ,10250.00 
NPSF20011002,513272AA2,LAMB WESTON HOLDINGS INC 144A,135000 ,138375.00 
NPSF30018002,513272AB0,LAMB WESTON HOLDINGS INC 144A,90000 ,92250.00 
NPSF20012002,52109PAG0,LB-UBS COMMERCIAL MORTGA C6 AM,240000 ,240736.80 
NPSF20011002,523768AF6,LEE ENTERPRISES INC 144A,255000 ,263925.00 
NPSF20012002,524ESC7M6,LEHMAN BRTH HLD (RICI) ESCROW,1115000 ,0.00 
NPSF20011002,526057BX1,LENNAR CORP,385000 ,407137.50 
NPSF30018002,526057BZ6,LENNAR CORP,80000 ,81200.00 
NPSF20011002,527298AY9,LEVEL 3 FINANCING INC,1531000 ,1580757.50 
NPSF20011002,527298BD4,LEVEL 3 FINANCING INC,536000 ,552080.00 
NPSF20011002,527298BF9,LEVEL 3 FINANCING INC,290000 ,302934.00 
NPSF20011002,527298BH5,LEVEL 3 FINANCING INC,370000 ,389425.00 
NPSF30018002,532457BP2,ELI LILLY & CO,90000 ,91167.30 
NPSF20011002,532776AZ4,LIN TELEVISION CORP,575000 ,601593.75 
NPSF20011002,535919AL8,LIONS GATE ENTERTAINMENT 144A,445000 ,467806.25 
NPSF30018002,53944YAA1,LLOYDS BANKING GROUP PLC,210000 ,219964.50 
